,area,title,desc,title+desc
0,energy efficiency (including public lighting),intensity control of led light points for higher energy savings in public lighting,"gradual use of control elements capable of reducing the lighting intensity for part of the night, suitable where led sources will be installed, additional costs anticipated to be minimal, additional savings rate of approx. 20% of (future) led luminaire consumption. the additional cost is represented by the different use of the ballast in the luminaire and also the different design of the internal wiring in the mast. in practice, the measure should be significantly cheaper and possibly cost-free (depending on which led luminaire supplier is selected)","intensity control of led light points for higher energy savings in public lighting. gradual use of control elements capable of reducing the lighting intensity for part of the night, suitable where led sources will be installed, additional costs anticipated to be minimal, additional savings rate of approx. 20% of (future) led luminaire consumption. the additional cost is represented by the different use of the ballast in the luminaire and also the different design of the internal wiring in the mast. in practice, the measure should be significantly cheaper and possibly cost-free (depending on which led luminaire supplier is selected)"
2,waste management (including waste recycling),instalación de planta trituradora de llantas,"como medida de solución permanente para la disposición final de las llantas usadasen tampico, es necesaria la compra e instalación de una línea de reciclado de llantas,la cual está compuesta por una serie de equipos que cuentan con las condicionesnecesarias para separar y triturar los diversos componentes que integran unneumático comercial","instalación de planta trituradora de llantas. como medida de solución permanente para la disposición final de las llantas usadasen tampico, es necesaria la compra e instalación de una línea de reciclado de llantas,la cual está compuesta por una serie de equipos que cuentan con las condicionesnecesarias para separar y triturar los diversos componentes que integran unneumático comercial"
3,transport,seguimiento y control ambiental a tecnologías vehiculares nuevas y en uso bajo métodos de medición actualizados,"en la actualidad, se encuentran disponibles múltiples tecnologías vehiculares en circulación que han causado que los métodos convencionales de medición de gases queden obsoletos porque las emisiones son más bajas, inclusive, que los límites de detección de los equipos y métodos de medición actuales, correspondientes a mediciones a velocidad constante sin carga y ralentí para vehículos a gasolina y pruebas de aceleración libre para la medición de opacidad. ese es el caso de vehículos diésel con sistemas de control de emisiones de material particulado como filtros de partículas diésel o sistemas de reducción catalítica selectiva para los óxidos de nitrógeno, y en vehículos a gasolina de inyección indirecta los convencionales catalizadores de tres vías y para aquellos con sistemas de inyección directa algunos cuentan con filtros de partículas a gasolina. que bajo los métodos actuales no se logra identificar el estado ambiental vehicular y tampoco permite establecer las emisiones bajo condiciones normales de operaciónpor otra parte, desde el ministerio de ambiente y desarrollo sostenible se encuentra en actualización la norma que establece los nuevos límites de emisión para migrar a euro 6 y vi en vehículos diésel livianos y pesados respectivamente, así como ascenso a euro 4 en vehículos a gasolina y actualmente euro 3 en motocicletas.por lo anterior, se pretende llevar a cabo una actualización de los métodos de medición para poder establecer el estado de cumplimiento y la actualización de los límites de emisión para las múltiples tecnologías disponibles en la ciudad.para ello se contempla realizar:- implementación del control por medio del conteo de número de partículas en vehículos diésel.- formulación del seguimiento y caracterización ambiental por medio de pruebas dinámicas a vehículos en uso e inclusión de control de nox.- apoyo en la formulación del programa de control por obd dirigido por el ministerio de ambiente","seguimiento y control ambiental a tecnologías vehiculares nuevas y en uso bajo métodos de medición actualizados. en la actualidad, se encuentran disponibles múltiples tecnologías vehiculares en circulación que han causado que los métodos convencionales de medición de gases queden obsoletos porque las emisiones son más bajas, inclusive, que los límites de detección de los equipos y métodos de medición actuales, correspondientes a mediciones a velocidad constante sin carga y ralentí para vehículos a gasolina y pruebas de aceleración libre para la medición de opacidad. ese es el caso de vehículos diésel con sistemas de control de emisiones de material particulado como filtros de partículas diésel o sistemas de reducción catalítica selectiva para los óxidos de nitrógeno, y en vehículos a gasolina de inyección indirecta los convencionales catalizadores de tres vías y para aquellos con sistemas de inyección directa algunos cuentan con filtros de partículas a gasolina. que bajo los métodos actuales no se logra identificar el estado ambiental vehicular y tampoco permite establecer las emisiones bajo condiciones normales de operaciónpor otra parte, desde el ministerio de ambiente y desarrollo sostenible se encuentra en actualización la norma que establece los nuevos límites de emisión para migrar a euro 6 y vi en vehículos diésel livianos y pesados respectivamente, así como ascenso a euro 4 en vehículos a gasolina y actualmente euro 3 en motocicletas.por lo anterior, se pretende llevar a cabo una actualización de los métodos de medición para poder establecer el estado de cumplimiento y la actualización de los límites de emisión para las múltiples tecnologías disponibles en la ciudad.para ello se contempla realizar:- implementación del control por medio del conteo de número de partículas en vehículos diésel.- formulación del seguimiento y caracterización ambiental por medio de pruebas dinámicas a vehículos en uso e inclusión de control de nox.- apoyo en la formulación del programa de control por obd dirigido por el ministerio de ambiente"
4,waste management (including waste recycling),fortalecimiento programa de reciclaje inclusivo,"este programa ayuda a dignificar y oficializar el trabajo de recicladores de base de la comuna, personas que logran sostener a sus familias gracias a esta labor. su trabajo consta de recuperar y reciclar residuos de los hogares de la comuna, revalorizándolos e incorporándolos a la cadena de uso y entregándoles un manejo adecuado (agrupan, tratan, reparan y venden estos productos para generar su sueldo.). por lo mismo, fortalecer y mejorar las condiciones y herramientas de este programa, no solo lo haría más efectivo y eficiente, más bien ayudaría a mejorar la calidad laboral de los recicladores y aumentar sus oportunidades.  además de esto, contribuyen a que más personas generen hábitos de responsabilidad con respecto a los residuos, disminuyendo la cantidad de estos que van a rellenos sanitarios y los gei asociados. es necesario dotar de mejores condiciones a los recicladores, mejorando así su calidad laboral","fortalecimiento programa de reciclaje inclusivo. este programa ayuda a dignificar y oficializar el trabajo de recicladores de base de la comuna, personas que logran sostener a sus familias gracias a esta labor. su trabajo consta de recuperar y reciclar residuos de los hogares de la comuna, revalorizándolos e incorporándolos a la cadena de uso y entregándoles un manejo adecuado (agrupan, tratan, reparan y venden estos productos para generar su sueldo.). por lo mismo, fortalecer y mejorar las condiciones y herramientas de este programa, no solo lo haría más efectivo y eficiente, más bien ayudaría a mejorar la calidad laboral de los recicladores y aumentar sus oportunidades.  además de esto, contribuyen a que más personas generen hábitos de responsabilidad con respecto a los residuos, disminuyendo la cantidad de estos que van a rellenos sanitarios y los gei asociados. es necesario dotar de mejores condiciones a los recicladores, mejorando así su calidad laboral"
5,waste management (including waste recycling),waste to energy project for blantyre city,rehabilitation of mudi river bank  and sewer line in blantyre city.waste to energy project for blantyre city,waste to energy project for blantyre city. rehabilitation of mudi river bank  and sewer line in blantyre city.waste to energy project for blantyre city
7,transport,ff2020 (ga #101006828): creating the 21st century spatial ecosystem,"it aims to develop a solution for sustainable mobility infrastructure, focused on urban air mobility. thebenefits for the city were: i) development of utm regulation in the zaragoza area; ii) less use of helicoptersfor mass event management and traffic control by saving fuel and flight hours; iii) decrease the time of doorto-door travel when emergency interventions occur; iv) prepare future door-to-door emergency urban airservices for a centralized and crowded city centre","ff2020 (ga #101006828): creating the 21st century spatial ecosystem. it aims to develop a solution for sustainable mobility infrastructure, focused on urban air mobility. thebenefits for the city were: i) development of utm regulation in the zaragoza area; ii) less use of helicoptersfor mass event management and traffic control by saving fuel and flight hours; iii) decrease the time of doorto-door travel when emergency interventions occur; iv) prepare future door-to-door emergency urban airservices for a centralized and crowded city centre"
9,transport,mobilidade elétrica,"este projeto é coordenado pela bhtrans e acelerado, desde setembro de 2018, pelo projeto urban leds ii (implementado pelo iclei - governos locais pela sustentabilidade em parceria com a onu-habitat com financiamento da comissão européia e executado em belo horizonte em parceria com a prefeitura municipal, por meio da gerência de projetos especiais da secretaria municipal do meio ambiente), sendo voltado para a eletrificação da frota de transporte público coletivo da capital. a sua visão é a seguinte: ""em 2021, belo horizonte terá uma frota de pelo menos 25 ônibus elétricos operando em seu serviço convencional, com o objetivo de melhorar a qualidade do ar, reduzir a poluição sonora e reduzir as emissões de gases de efeito estufa"". para tanto, riscos técnicos, econômicos, comerciais e políticos foram mapeados e ações de mitigação de riscos estão sendo estudadas. as alternativas de financiamento de veículos ou baterias (componentes importados de maior valor) também estão sendo estudadas, mas ainda são um desafio a ser superado. o projeto piloto inclui uma frota de veículos composta por 3 microônibus, 17 ônibus padrão e 5 ônibus articulados. os microônibus serão alocados ao sistema vilas e favelas (aldeias e favelas) e em linhas que circulam nas estradas com restrições à operação de veículos maiores. eles também podem ser alocados no serviço complementar. os veículos convencionais e padrão representam a grande maioria da frota municipal, distribuída em linhas circulares, diamétricas, radiais e de alimentação. o uso dos veículos articulados está concentrado no sistema de troncos e eles viajam por rotas exclusivas ou com tratamento preferencial para o transporte público. a redução das emissões de gases de efeito estufa, a melhoria da qualidade do ar e a redução da poluição sonora estão entre as oportunidades e os impactos do projeto, bem como o aumento do serviço do sistema de transporte coletivo, com a possibilidade de implementar essa mesma tecnologia em outras áreas. da cidade","mobilidade elétrica. este projeto é coordenado pela bhtrans e acelerado, desde setembro de 2018, pelo projeto urban leds ii (implementado pelo iclei - governos locais pela sustentabilidade em parceria com a onu-habitat com financiamento da comissão européia e executado em belo horizonte em parceria com a prefeitura municipal, por meio da gerência de projetos especiais da secretaria municipal do meio ambiente), sendo voltado para a eletrificação da frota de transporte público coletivo da capital. a sua visão é a seguinte: ""em 2021, belo horizonte terá uma frota de pelo menos 25 ônibus elétricos operando em seu serviço convencional, com o objetivo de melhorar a qualidade do ar, reduzir a poluição sonora e reduzir as emissões de gases de efeito estufa"". para tanto, riscos técnicos, econômicos, comerciais e políticos foram mapeados e ações de mitigação de riscos estão sendo estudadas. as alternativas de financiamento de veículos ou baterias (componentes importados de maior valor) também estão sendo estudadas, mas ainda são um desafio a ser superado. o projeto piloto inclui uma frota de veículos composta por 3 microônibus, 17 ônibus padrão e 5 ônibus articulados. os microônibus serão alocados ao sistema vilas e favelas (aldeias e favelas) e em linhas que circulam nas estradas com restrições à operação de veículos maiores. eles também podem ser alocados no serviço complementar. os veículos convencionais e padrão representam a grande maioria da frota municipal, distribuída em linhas circulares, diamétricas, radiais e de alimentação. o uso dos veículos articulados está concentrado no sistema de troncos e eles viajam por rotas exclusivas ou com tratamento preferencial para o transporte público. a redução das emissões de gases de efeito estufa, a melhoria da qualidade do ar e a redução da poluição sonora estão entre as oportunidades e os impactos do projeto, bem como o aumento do serviço do sistema de transporte coletivo, com a possibilidade de implementar essa mesma tecnologia em outras áreas. da cidade"
10,energy efficiency (including public lighting),eol-4 project,"we are committed to caring for a more beautiful and greener environment, so in the city of ljubljana we continue to pursue the goals of sustainable development. with the renovation of public buildings, we strive for greater energy efficiency, higher savings in energy costs, lower maintenance costs and lower co2 emissions","eol-4 project. we are committed to caring for a more beautiful and greener environment, so in the city of ljubljana we continue to pursue the goals of sustainable development. with the renovation of public buildings, we strive for greater energy efficiency, higher savings in energy costs, lower maintenance costs and lower co2 emissions"
16,waste management (including waste recycling),projet de mis en place d'une unité de compostage des déchets alimentaires dans le ville de dakar,la ville de dakar est en train de développer un projet en partenariat avec la ville de milan pour installer un centre de tri et de compostage des déchets alimentaires autour du marché castor.  ce projet permettra de réduire les émissions de ges liées aux déchets alimentaires et d'améliorer le cadre de vie des population de dakar,projet de mis en place d'une unité de compostage des déchets alimentaires dans le ville de dakar. la ville de dakar est en train de développer un projet en partenariat avec la ville de milan pour installer un centre de tri et de compostage des déchets alimentaires autour du marché castor.  ce projet permettra de réduire les émissions de ges liées aux déchets alimentaires et d'améliorer le cadre de vie des population de dakar
20,public and green spaces,"benefits of urban green infrastructure for human health, climate change mitigation and adaptation in ecosystem accounting","the aim of the planned research project is to develop ecosystem accounting as a method for ecosystem monitoring and land use planning in cities. in particular, it focuses on the importance and monetary value of the benefits provided by urban green infrastructure. the study examines holistically the green infrastructure's cooling and shading effects on human health, climate change mitigation (through energy saving) and adaptation (through stormwater management). the study will include a scenario analysis of the current development and the development of the general plan up to 2040 and compare their impacts","benefits of urban green infrastructure for human health, climate change mitigation and adaptation in ecosystem accounting. the aim of the planned research project is to develop ecosystem accounting as a method for ecosystem monitoring and land use planning in cities. in particular, it focuses on the importance and monetary value of the benefits provided by urban green infrastructure. the study examines holistically the green infrastructure's cooling and shading effects on human health, climate change mitigation (through energy saving) and adaptation (through stormwater management). the study will include a scenario analysis of the current development and the development of the general plan up to 2040 and compare their impacts"
