Questionnaire Name,Account Number,Account Name,Country,CDP Region,Sector,Title,Description
Cities 2021,31154,Bogotá Distrito Capital,Colombia, Latin America,,,
Cities 2021,31155,City of Buenos Aires,Argentina, Latin America,Water management,Restauración Arroyo Medrano en Parque Saavedra,El proyecto contempla la restauración de 530 metros del Arroyo Medrano con capacidad de retener 25.0000.000 litros de agua. Su ejecución favorecerá a más de 74.526 vecinos que tendrán un arroyo a menos de 10 cuadras de su casa y alrededor de 200.000 vecinos que serán menos vulnerables frente a inundaciones. Se llevará adelante la restauración y/o remediación del curso de agua a su condición original e histórica para la recuperación de su interacción con la superficie freática y la visibilizacion de los arroyos. Año previsto: 2022.
Cities 2021,31155,City of Buenos Aires,Argentina, Latin America,Water management,Activación Reservorio Arroyo cildañez,Se contempla la posibilidad de crear espacios recreativos y educativos mediante humedales y plantación de especies autóctonas para recrear la biodiversidad de la zona. Año previsto: 2021.
Cities 2021,31155,City of Buenos Aires,Argentina, Latin America,"Other, please specify: Urbanismo sostenible",Despavimentación,"El proyecto contempla la adecuación de diferentes calles de la ciudad de manera que se prioricen los espacios verdes y azules, que cuenten con áreas de retención e infiltración para una mejor adaptacion ante inundaciones. Año previsto: 2022/2023"
Cities 2021,31155,City of Buenos Aires,Argentina, Latin America,Water management,Centro interpretación del Agua,Visitas de escuelas a un espacio en el que se presenta contenido educativo integral sobre Agua y Cambio climatico. Año previsto. 2021.
Cities 2021,31155,City of Buenos Aires,Argentina, Latin America,Water management,Plan de Adaptación Hidráulica al Cambio Climático,"Proyecto producto del proyecto de cooperación con Copenhague. En el marco del Plan Hidráulico y su plan de adaptación para manejo de inundaciones, se prevén obras de infraestructura hidráulica basadas en la naturaleza (verde y azul), que permiten reducir el riesgo de inundaciones en la Ciudad por causa del cambio climático, mejoran la calidad del agua, recuperan la interacción entre la napa y los cursos de agua, y generan espacios recreativos de disfrute. Año previsto: 2023."
Cities 2021,31155,City of Buenos Aires,Argentina, Latin America,Transport,Expansión de red de ciclovías,"La obra consiste en la ejecución de carriles exclusivos para bicicletas implementando distintos elementos que advierten, señalan, anticipan y anuncian la existencia de la red de ciclovías Dicha estructura está compuesta por divisores de carril materializados por cordones de hormigón premoldeados, demarcación horizontal, señalamiento vertical, tachas y delineadores. Se busca expandir la red de ciclovías existente y consolidada hacia los barrios que aún se encuentran desconectados del centro de la ciudad y/o trazas que quedaron desconectadas del resto, consolidándolas y continuando con el desarrollo de las mismas en el ámbito de la Ciudad Autónoma de Buenos Aires  garantizando una infraestructura mínima, adecuada y segura para el buen funcionamiento."
Cities 2021,31155,City of Buenos Aires,Argentina, Latin America,Buildings,Diseño sustentable de vivienda social,"Proponemos participar en el proceso de diseño, licitación y ejecución de viviendas sociales teniendo como objetivo incorporar los elementos necesarios para lograr viviendas sociales que tengan el desempeño energético correspondiente a la categoría B de la norma IRAM 11.900."
Cities 2021,31155,City of Buenos Aires,Argentina, Latin America,"Other, please specify: Nueva espacialidad",Areas Peatonales,Mejorar la infraestructura y la experiencia del vecino en áreas de Conservación para favorecer el disfrute responsable de la naturaleza..Se busca 4 construir 4 arreas peatonales.
Cities 2021,31156,Municipality of Curitiba,Brazil, Latin America,Transport,"Aumento da Capacidade e Velocidade do BRT na Extensão do Eixo Norte – Sul, Eixo Leste-Oeste e Terminais.","O projeto prevê a readequação das canaletas exclusivas de transporte coletivo, com o afastamento das estações tubo, criando uma terceira e quarta pistas para ultrapassagem, de forma a permitir a utilização de linhas de Ligeirão, mais rápidas e com menos paradas. Será implantado na extensão do Eixo Norte-Sul, no trecho compreendido entre a Praça do Japão e o Terminal do Pinheirinho e também no Eixo Leste-Oeste.Serão realizadas adequação de pistas, reformas, ampliações, e implantação de terminais e priorização semafórica integrada ao SIM (Sistema Integrado de Mobilidade –PAC Mobilidade). Também estão previstas melhorias das calçadas e passagens em nível para acesso aos terminais e Estações Tubo e implantação de bicicletários de integração, assim como a retirada dos ciclistas no compartilhamento com o transporte coletivo para vias adjacentes no Eixo Estrutural.Apesar dos constantes investimentos no transporte público de Curitiba e Região Metropolitana, a Rede Integrada de Transportes - RIT vem enfrentando dificuldades, devido principalmente ao aumento intenso do tráfego de veículos particulares. Em Curitiba são mais de 1.300.000 veículos registrados, criando problemas operacionais para o transporte público e a mobilidade em geral. O trânsito congestionado tem gerado aumento nos tempos de viagens e dificuldades em manter a freqüência do sistema, desestimulando assim, o uso do transporte coletivo pela falta de regularidade.As políticas voltadas à priorização do transporte de massa em detrimento ao individual mantém Curitiba sempre preocupada em buscar soluções viáveis, vinculadas ao desenvolvimento urbano e metropolitano do seu transporte coletivo.Nesse panorama, onde sempre se procurou avançar na direção do futuro, é que nesse momento se mostra imperiosa a necessidade de avançar ainda mais nas soluções para osistema de transporte da cidade. Com a consolidação dos Eixos Estruturais e a integração com a Região Metropolitana, tornou-se necessária a busca de novas tecnologias de transporte para o atendimento adequado à demanda por transporte coletivo.As dificuldades de manutenção da regularidade da Linha Direta em função dos constantes congestionamentos, principalmente no cruzamento da região central fora de vias exclusivas, o desejo dos usuários em obter menores tempos de deslocamento e a necessidade de intervenção física nas canaletas Leste-Oeste e Norte-Sul, possibilitando a ultrapassagem para o compartilhamento da via, são os elementos principais que levaram a Prefeitura de Curitiba a investir neste projeto.Os Eixos Leste-Oeste e Norte-Sul são corredores consolidados de BRT em Curitiba, tratando este projeto como aumento da capacidade e velocidade das linhas expressas que operam nestes corredores. Este projeto trata do alargamento das canaletas junto aos pontos de parada, da inserção nas canaletas de linhas de ônibus Ligeirinho que trafegam em vias paralelas aos corredores, as quais apresentam perdas operacionais consideráveis por trafegarem junto ao trânsito comum.Juntamente com a implantação deste projeto, serão introduzidas as chamadas Vias Calmas, paralelas às canaletas exclusivas, onde veículos de trânsito local compartilharão as vias com o modal bicicleta.Os principais benefícios esperados com a implantação do projeto são:Melhoria dos tempos de viagem em função do aumento da velocidade operacional dos ônibus biarticulados das Linhas Expressas e Linhas Diretas;Melhoria na operação geral nos Terminais e Estações-tubo;Ganhos ambientais pela substituição de ônibus Padron movidos a diesel por biarticulados novos movidos a B100;Ganhos para o componente da mobilidade bicicleta, com a implantação de vias compartilhadas."
Cities 2021,31156,Municipality of Curitiba,Brazil, Latin America,Transport,Complementação da Linha Verde  na cidade de Curitiba – Linha Verde Norte e Linha Verde -  Extensão Sul,"O Projeto Linha Verde apresenta um total de cinco pistas, dispostas longitudinalmente à antiga faixa de domínio da rodovia BR-116, numa extensão de aproximadamente 22 km. O projeto prevê a construção de novas pistas, com trechos de aproveitamento de pistas existentes. São elas: a canaleta central, exclusiva para o transporte coletivo, as vias marginais e vias locais, esquerda e direita. O projeto também irá contar com ciclovia e passeios para pedestres. Desta forma, a Linha Verde resultará numa via de alto desempenho, multimodal, tanto em termos de capacidade de tráfego quanto de segurança para seus usuários.As pistas projetadas têm a finalidade de atender a demanda do novo corredor de transporte com segurança, através de um conjunto de pistas dedicadas a cada modal, e características de tráfego previstas, com os componentes abaixo relacionados:Canaleta exclusiva: a canaleta é a pista central, exclusiva para as linhas expressas do transporte coletivo tipo BRT, onde irão trafegar ônibus bi-articulados.Vias marginais: as duas vias laterais à canaleta exclusiva, destinadas à circulação de veículos em geral que hoje utilizam a rodovia. As vias marginais serão separadas das vias locais, situadas do lado mais externo do conjunto de pistas, por canteiros de largura variável, com paisagismo especifico.Vias locais: as vias locais, anteriormente denominadas  vias marginais da rodovia BR-116, serão implantadas e/ou adaptadas no limite da faixa de domínio da rodovia, servindo para acesso às atividades lindeiras. Apresentarão faixa de estacionamento longitudinal, e faixa de tráfego com sentido único. Ao longo das extensões das futuras estações de embarque e desembarque de passageiros do sistema BRT, as vias locais serão superpostas às vias marginais. Após a estação, as pistas voltam a sua composição normal.Estações de transporte coletivo: as estações ao longo da LINHA VERDE foram previstas com a função de permitir a integração das linhas que a utilizarão, com as demais linhas de transporte coletivo, existentes ou planejadas, que cruzarão a Linha Verde.O projeto constitui-se em novo indutor de desenvolvimento da cidade, através de alterações de uso do solo e zoneamento, permitindo o incremento de atividades socioeconômicas e de revitalização urbanística e ambiental. Nos bairros lindeiros ao eixo reside cerca de 32% da população de Curitiba."
Cities 2021,31156,Municipality of Curitiba,Brazil, Latin America,Transport,Aumento da Capacidade e Velocidade da Linha Direta  Inter 2,"O projeto prevê intervenções físicas e operacionais nos 38 quilômetros de extensão por sentido, de um conjunto de vias que compõem o anel viário da Linha Direta. Serão realizadas obras de requalificação viária, implantação de faixas exclusivas para o transporte coletivo, compartilhamento de trechos de canaletas, reforma e reconstrução de terminais de transporte, ampliação e relocação de estaçõestubo, alterações geométricas em cruzamentos saturados, construção de trincheiras, implantação de novos binários de tráfego, priorização semafórica, monitoramento e fiscalização eletrônica de faixas exclusivas.A Linha Direta ""Inter 2"" constitui-se numa linha radial de “Ligeirinho” , que apresenta poucas paradas, em estações tubo ou terminais. Possui grande importância para o sistema de transporte da cidade pois faz a conexão entre os cinco Eixos Estruturais (corredores de transporte com canaletas exclusivas).Foi implantada como alternativa à linha paradora Interbairros II, responsável principal da efetiva integração dos usuários do transporte coletivo, pois proporciona a possibilidade de trocas de deslocamento entre os principais eixos, além de vias troncais, associadas ao Plano Diretor de Desenvolvimento da cidade. Assim, a integração é realizada por meio dos Terminais e Estações-tubo dos diversos eixos, sem passar pelo centro de Curitiba.Considerando a importância da Linha Inter 2 como promotora da integração entre os eixos de transporte, é imprescindível o investimento no aumento da sua capacidade, permitindo assim o suporte ao crescimento da demanda do sistema e a otimização da RIT – Rede Integrada de Transporte.Hoje, a Linha Inter 2 transporta pouco mais de 80 mil passageiros/dia útil, com intervalos (frequência) de aproximadamente 2½ minutos (sentido horário) e aproximadamente 3½ minutos (sentido anti-horário), com velocidade média de 22,30 km/h, totalizando 102 minutos para completar o circuito.O indicador de qualidade da Linha Inter 2, apesar de intervenções terem sido realizadas para melhorar sua performance, se encontra no topo do ranking das reclamações. Além de novos usuários desejarem utilizá-la, os atuais reclamam da sua irregularidade causada pela retenção e comboiamento de ônibus, em função desta linha circular em trânsito compartilhado, repetidamente saturado em diversos locais nos horários de pico.Em 2010, a linha teve sua programação alterada, reduzindo a velocidade operacional de aproximadamente 25 km/h para aproximadamente 22 km/h na tentativa de manter sua regularidade que, apesar disto, continua comprometida.Os principais benefícios esperados com a implantação do projeto são:Melhoria dos tempos de viagem em função do aumento da velocidade operacional dos ônibus, para uma parcela importante da demanda da Rede Integrada de Transporte - RIT;Melhoria na operação dos ônibus nos Terminais e Estações tubo;Ganhos ambientais pela substituição de combustível na nova frota operante de ônibus articulados, sendo 30 veículos na Linha Inter 2 e 10 veículos na Linha Interbairros II; e,Ganhos  para todos os componentes da mobilidade, devido às intervenções previstas no sistema viário e equipamentos, implantados ao longo dos 38 km de extensão por sentido.Para melhorar a velocidade operacional dos ônibus serão necessárias obras físicas nas vias que compõem o seu itinerário, a instalação de equipamentos (semáforos prioritários, fiscalização eletrônica de faixas exclusivas, câmeras de monitoramento), e frota completa de ônibus articulados movidos a biocombustível, e novas Estações-tubo.Como obras complementares, serão refeitas calçadas e ciclo-facilidades, drenagem e iluminação pública."
Cities 2021,31156,Municipality of Curitiba,Brazil, Latin America,Renewable energy,Curitiba Mais Energia - painéis fotovoltaicos na rodoviária e em 3 terminais de transporte coletivo,"O projeto “Curitiba Mais Energia” possui como escopo a instalação de Sistemas Fotovoltaicos (FV) conectados à rede em telhados de quatro terminais de ônibus e em solo sobre um aterro sanitário encerrado. A potência total das instalações é estimada entre 10 a 15 MW, e contribuirão para a redução de 89,028 toneladas de CO2 entre 2020 e 2050 na emissão de gases de efeito estufa pela cidade. O projeto será implementado seguindo o mecanismo de compensação de energia, net metering, regulada pela resolução ANEEL n°482/2012 para geração distribuída (GD). A usina a ser implantada no aterro será feita em parceira com a Copel (concessionária de energia do Paraná), mediante a formação de uma SPE. O modelo de negócio para a implantação das usinas nos telhados encontra-se em estudo."
