,area,title,desc,title+desc
1,water management,restauración arroyo medrano en parque saavedra,el proyecto contempla la restauración de 530 metros del arroyo medrano con capacidad de retener 25.0000.000 litros de agua. su ejecución favorecerá a más de 74.526 vecinos que tendrán un arroyo a menos de 10 cuadras de su casa y alrededor de 200.000 vecinos que serán menos vulnerables frente a inundaciones. se llevará adelante la restauración y/o remediación del curso de agua a su condición original e histórica para la recuperación de su interacción con la superficie freática y la visibilizacion de los arroyos. año previsto: 2022,restauración arroyo medrano en parque saavedra. el proyecto contempla la restauración de 530 metros del arroyo medrano con capacidad de retener 25.0000.000 litros de agua. su ejecución favorecerá a más de 74.526 vecinos que tendrán un arroyo a menos de 10 cuadras de su casa y alrededor de 200.000 vecinos que serán menos vulnerables frente a inundaciones. se llevará adelante la restauración y/o remediación del curso de agua a su condición original e histórica para la recuperación de su interacción con la superficie freática y la visibilizacion de los arroyos. año previsto: 2022
2,water management,activación reservorio arroyo cildañez,se contempla la posibilidad de crear espacios recreativos y educativos mediante humedales y plantación de especies autóctonas para recrear la biodiversidad de la zona. año previsto: 2021,activación reservorio arroyo cildañez. se contempla la posibilidad de crear espacios recreativos y educativos mediante humedales y plantación de especies autóctonas para recrear la biodiversidad de la zona. año previsto: 2021
4,water management,centro interpretación del agua,visitas de escuelas a un espacio en el que se presenta contenido educativo integral sobre agua y cambio climatico. año previsto. 2021,centro interpretación del agua. visitas de escuelas a un espacio en el que se presenta contenido educativo integral sobre agua y cambio climatico. año previsto. 2021
5,water management,plan de adaptación hidráulica al cambio climático,"proyecto producto del proyecto de cooperación con copenhague. en el marco del plan hidráulico y su plan de adaptación para manejo de inundaciones, se prevén obras de infraestructura hidráulica basadas en la naturaleza (verde y azul), que permiten reducir el riesgo de inundaciones en la ciudad por causa del cambio climático, mejoran la calidad del agua, recuperan la interacción entre la napa y los cursos de agua, y generan espacios recreativos de disfrute. año previsto: 2023","plan de adaptación hidráulica al cambio climático. proyecto producto del proyecto de cooperación con copenhague. en el marco del plan hidráulico y su plan de adaptación para manejo de inundaciones, se prevén obras de infraestructura hidráulica basadas en la naturaleza (verde y azul), que permiten reducir el riesgo de inundaciones en la ciudad por causa del cambio climático, mejoran la calidad del agua, recuperan la interacción entre la napa y los cursos de agua, y generan espacios recreativos de disfrute. año previsto: 2023"
6,transport,expansión de red de ciclovías,"la obra consiste en la ejecución de carriles exclusivos para bicicletas implementando distintos elementos que advierten, señalan, anticipan y anuncian la existencia de la red de ciclovías dicha estructura está compuesta por divisores de carril materializados por cordones de hormigón premoldeados, demarcación horizontal, señalamiento vertical, tachas y delineadores. se busca expandir la red de ciclovías existente y consolidada hacia los barrios que aún se encuentran desconectados del centro de la ciudad y/o trazas que quedaron desconectadas del resto, consolidándolas y continuando con el desarrollo de las mismas en el ámbito de la ciudad autónoma de buenos aires  garantizando una infraestructura mínima, adecuada y segura para el buen funcionamiento","expansión de red de ciclovías. la obra consiste en la ejecución de carriles exclusivos para bicicletas implementando distintos elementos que advierten, señalan, anticipan y anuncian la existencia de la red de ciclovías dicha estructura está compuesta por divisores de carril materializados por cordones de hormigón premoldeados, demarcación horizontal, señalamiento vertical, tachas y delineadores. se busca expandir la red de ciclovías existente y consolidada hacia los barrios que aún se encuentran desconectados del centro de la ciudad y/o trazas que quedaron desconectadas del resto, consolidándolas y continuando con el desarrollo de las mismas en el ámbito de la ciudad autónoma de buenos aires  garantizando una infraestructura mínima, adecuada y segura para el buen funcionamiento"
7,buildings,diseño sustentable de vivienda social,"proponemos participar en el proceso de diseño, licitación y ejecución de viviendas sociales teniendo como objetivo incorporar los elementos necesarios para lograr viviendas sociales que tengan el desempeño energético correspondiente a la categoría b de la norma iram 11.900","diseño sustentable de vivienda social. proponemos participar en el proceso de diseño, licitación y ejecución de viviendas sociales teniendo como objetivo incorporar los elementos necesarios para lograr viviendas sociales que tengan el desempeño energético correspondiente a la categoría b de la norma iram 11.900"
9,transport,"aumento da capacidade e velocidade do brt na extensão do eixo norte – sul, eixo leste-oeste e terminais","o projeto prevê a readequação das canaletas exclusivas de transporte coletivo, com o afastamento das estações tubo, criando uma terceira e quarta pistas para ultrapassagem, de forma a permitir a utilização de linhas de ligeirão, mais rápidas e com menos paradas. será implantado na extensão do eixo norte-sul, no trecho compreendido entre a praça do japão e o terminal do pinheirinho e também no eixo leste-oeste.serão realizadas adequação de pistas, reformas, ampliações, e implantação de terminais e priorização semafórica integrada ao sim (sistema integrado de mobilidade –pac mobilidade). também estão previstas melhorias das calçadas e passagens em nível para acesso aos terminais e estações tubo e implantação de bicicletários de integração, assim como a retirada dos ciclistas no compartilhamento com o transporte coletivo para vias adjacentes no eixo estrutural.apesar dos constantes investimentos no transporte público de curitiba e região metropolitana, a rede integrada de transportes - rit vem enfrentando dificuldades, devido principalmente ao aumento intenso do tráfego de veículos particulares. em curitiba são mais de 1.300.000 veículos registrados, criando problemas operacionais para o transporte público e a mobilidade em geral. o trânsito congestionado tem gerado aumento nos tempos de viagens e dificuldades em manter a freqüência do sistema, desestimulando assim, o uso do transporte coletivo pela falta de regularidade.as políticas voltadas à priorização do transporte de massa em detrimento ao individual mantém curitiba sempre preocupada em buscar soluções viáveis, vinculadas ao desenvolvimento urbano e metropolitano do seu transporte coletivo.nesse panorama, onde sempre se procurou avançar na direção do futuro, é que nesse momento se mostra imperiosa a necessidade de avançar ainda mais nas soluções para osistema de transporte da cidade. com a consolidação dos eixos estruturais e a integração com a região metropolitana, tornou-se necessária a busca de novas tecnologias de transporte para o atendimento adequado à demanda por transporte coletivo.as dificuldades de manutenção da regularidade da linha direta em função dos constantes congestionamentos, principalmente no cruzamento da região central fora de vias exclusivas, o desejo dos usuários em obter menores tempos de deslocamento e a necessidade de intervenção física nas canaletas leste-oeste e norte-sul, possibilitando a ultrapassagem para o compartilhamento da via, são os elementos principais que levaram a prefeitura de curitiba a investir neste projeto.os eixos leste-oeste e norte-sul são corredores consolidados de brt em curitiba, tratando este projeto como aumento da capacidade e velocidade das linhas expressas que operam nestes corredores. este projeto trata do alargamento das canaletas junto aos pontos de parada, da inserção nas canaletas de linhas de ônibus ligeirinho que trafegam em vias paralelas aos corredores, as quais apresentam perdas operacionais consideráveis por trafegarem junto ao trânsito comum.juntamente com a implantação deste projeto, serão introduzidas as chamadas vias calmas, paralelas às canaletas exclusivas, onde veículos de trânsito local compartilharão as vias com o modal bicicleta.os principais benefícios esperados com a implantação do projeto são:melhoria dos tempos de viagem em função do aumento da velocidade operacional dos ônibus biarticulados das linhas expressas e linhas diretas;melhoria na operação geral nos terminais e estações-tubo;ganhos ambientais pela substituição de ônibus padron movidos a diesel por biarticulados novos movidos a b100;ganhos para o componente da mobilidade bicicleta, com a implantação de vias compartilhadas","aumento da capacidade e velocidade do brt na extensão do eixo norte – sul, eixo leste-oeste e terminais. o projeto prevê a readequação das canaletas exclusivas de transporte coletivo, com o afastamento das estações tubo, criando uma terceira e quarta pistas para ultrapassagem, de forma a permitir a utilização de linhas de ligeirão, mais rápidas e com menos paradas. será implantado na extensão do eixo norte-sul, no trecho compreendido entre a praça do japão e o terminal do pinheirinho e também no eixo leste-oeste.serão realizadas adequação de pistas, reformas, ampliações, e implantação de terminais e priorização semafórica integrada ao sim (sistema integrado de mobilidade –pac mobilidade). também estão previstas melhorias das calçadas e passagens em nível para acesso aos terminais e estações tubo e implantação de bicicletários de integração, assim como a retirada dos ciclistas no compartilhamento com o transporte coletivo para vias adjacentes no eixo estrutural.apesar dos constantes investimentos no transporte público de curitiba e região metropolitana, a rede integrada de transportes - rit vem enfrentando dificuldades, devido principalmente ao aumento intenso do tráfego de veículos particulares. em curitiba são mais de 1.300.000 veículos registrados, criando problemas operacionais para o transporte público e a mobilidade em geral. o trânsito congestionado tem gerado aumento nos tempos de viagens e dificuldades em manter a freqüência do sistema, desestimulando assim, o uso do transporte coletivo pela falta de regularidade.as políticas voltadas à priorização do transporte de massa em detrimento ao individual mantém curitiba sempre preocupada em buscar soluções viáveis, vinculadas ao desenvolvimento urbano e metropolitano do seu transporte coletivo.nesse panorama, onde sempre se procurou avançar na direção do futuro, é que nesse momento se mostra imperiosa a necessidade de avançar ainda mais nas soluções para osistema de transporte da cidade. com a consolidação dos eixos estruturais e a integração com a região metropolitana, tornou-se necessária a busca de novas tecnologias de transporte para o atendimento adequado à demanda por transporte coletivo.as dificuldades de manutenção da regularidade da linha direta em função dos constantes congestionamentos, principalmente no cruzamento da região central fora de vias exclusivas, o desejo dos usuários em obter menores tempos de deslocamento e a necessidade de intervenção física nas canaletas leste-oeste e norte-sul, possibilitando a ultrapassagem para o compartilhamento da via, são os elementos principais que levaram a prefeitura de curitiba a investir neste projeto.os eixos leste-oeste e norte-sul são corredores consolidados de brt em curitiba, tratando este projeto como aumento da capacidade e velocidade das linhas expressas que operam nestes corredores. este projeto trata do alargamento das canaletas junto aos pontos de parada, da inserção nas canaletas de linhas de ônibus ligeirinho que trafegam em vias paralelas aos corredores, as quais apresentam perdas operacionais consideráveis por trafegarem junto ao trânsito comum.juntamente com a implantação deste projeto, serão introduzidas as chamadas vias calmas, paralelas às canaletas exclusivas, onde veículos de trânsito local compartilharão as vias com o modal bicicleta.os principais benefícios esperados com a implantação do projeto são:melhoria dos tempos de viagem em função do aumento da velocidade operacional dos ônibus biarticulados das linhas expressas e linhas diretas;melhoria na operação geral nos terminais e estações-tubo;ganhos ambientais pela substituição de ônibus padron movidos a diesel por biarticulados novos movidos a b100;ganhos para o componente da mobilidade bicicleta, com a implantação de vias compartilhadas"
10,transport,complementação da linha verde  na cidade de curitiba – linha verde norte e linha verde -  extensão sul,"o projeto linha verde apresenta um total de cinco pistas, dispostas longitudinalmente à antiga faixa de domínio da rodovia br-116, numa extensão de aproximadamente 22 km. o projeto prevê a construção de novas pistas, com trechos de aproveitamento de pistas existentes. são elas: a canaleta central, exclusiva para o transporte coletivo, as vias marginais e vias locais, esquerda e direita. o projeto também irá contar com ciclovia e passeios para pedestres. desta forma, a linha verde resultará numa via de alto desempenho, multimodal, tanto em termos de capacidade de tráfego quanto de segurança para seus usuários.as pistas projetadas têm a finalidade de atender a demanda do novo corredor de transporte com segurança, através de um conjunto de pistas dedicadas a cada modal, e características de tráfego previstas, com os componentes abaixo relacionados:canaleta exclusiva: a canaleta é a pista central, exclusiva para as linhas expressas do transporte coletivo tipo brt, onde irão trafegar ônibus bi-articulados.vias marginais: as duas vias laterais à canaleta exclusiva, destinadas à circulação de veículos em geral que hoje utilizam a rodovia. as vias marginais serão separadas das vias locais, situadas do lado mais externo do conjunto de pistas, por canteiros de largura variável, com paisagismo especifico.vias locais: as vias locais, anteriormente denominadas  vias marginais da rodovia br-116, serão implantadas e/ou adaptadas no limite da faixa de domínio da rodovia, servindo para acesso às atividades lindeiras. apresentarão faixa de estacionamento longitudinal, e faixa de tráfego com sentido único. ao longo das extensões das futuras estações de embarque e desembarque de passageiros do sistema brt, as vias locais serão superpostas às vias marginais. após a estação, as pistas voltam a sua composição normal.estações de transporte coletivo: as estações ao longo da linha verde foram previstas com a função de permitir a integração das linhas que a utilizarão, com as demais linhas de transporte coletivo, existentes ou planejadas, que cruzarão a linha verde.o projeto constitui-se em novo indutor de desenvolvimento da cidade, através de alterações de uso do solo e zoneamento, permitindo o incremento de atividades socioeconômicas e de revitalização urbanística e ambiental. nos bairros lindeiros ao eixo reside cerca de 32% da população de curitiba","complementação da linha verde  na cidade de curitiba – linha verde norte e linha verde -  extensão sul. o projeto linha verde apresenta um total de cinco pistas, dispostas longitudinalmente à antiga faixa de domínio da rodovia br-116, numa extensão de aproximadamente 22 km. o projeto prevê a construção de novas pistas, com trechos de aproveitamento de pistas existentes. são elas: a canaleta central, exclusiva para o transporte coletivo, as vias marginais e vias locais, esquerda e direita. o projeto também irá contar com ciclovia e passeios para pedestres. desta forma, a linha verde resultará numa via de alto desempenho, multimodal, tanto em termos de capacidade de tráfego quanto de segurança para seus usuários.as pistas projetadas têm a finalidade de atender a demanda do novo corredor de transporte com segurança, através de um conjunto de pistas dedicadas a cada modal, e características de tráfego previstas, com os componentes abaixo relacionados:canaleta exclusiva: a canaleta é a pista central, exclusiva para as linhas expressas do transporte coletivo tipo brt, onde irão trafegar ônibus bi-articulados.vias marginais: as duas vias laterais à canaleta exclusiva, destinadas à circulação de veículos em geral que hoje utilizam a rodovia. as vias marginais serão separadas das vias locais, situadas do lado mais externo do conjunto de pistas, por canteiros de largura variável, com paisagismo especifico.vias locais: as vias locais, anteriormente denominadas  vias marginais da rodovia br-116, serão implantadas e/ou adaptadas no limite da faixa de domínio da rodovia, servindo para acesso às atividades lindeiras. apresentarão faixa de estacionamento longitudinal, e faixa de tráfego com sentido único. ao longo das extensões das futuras estações de embarque e desembarque de passageiros do sistema brt, as vias locais serão superpostas às vias marginais. após a estação, as pistas voltam a sua composição normal.estações de transporte coletivo: as estações ao longo da linha verde foram previstas com a função de permitir a integração das linhas que a utilizarão, com as demais linhas de transporte coletivo, existentes ou planejadas, que cruzarão a linha verde.o projeto constitui-se em novo indutor de desenvolvimento da cidade, através de alterações de uso do solo e zoneamento, permitindo o incremento de atividades socioeconômicas e de revitalização urbanística e ambiental. nos bairros lindeiros ao eixo reside cerca de 32% da população de curitiba"
11,transport,aumento da capacidade e velocidade da linha direta  inter 2,"o projeto prevê intervenções físicas e operacionais nos 38 quilômetros de extensão por sentido, de um conjunto de vias que compõem o anel viário da linha direta. serão realizadas obras de requalificação viária, implantação de faixas exclusivas para o transporte coletivo, compartilhamento de trechos de canaletas, reforma e reconstrução de terminais de transporte, ampliação e relocação de estaçõestubo, alterações geométricas em cruzamentos saturados, construção de trincheiras, implantação de novos binários de tráfego, priorização semafórica, monitoramento e fiscalização eletrônica de faixas exclusivas.a linha direta ""inter 2"" constitui-se numa linha radial de “ligeirinho” , que apresenta poucas paradas, em estações tubo ou terminais. possui grande importância para o sistema de transporte da cidade pois faz a conexão entre os cinco eixos estruturais (corredores de transporte com canaletas exclusivas).foi implantada como alternativa à linha paradora interbairros ii, responsável principal da efetiva integração dos usuários do transporte coletivo, pois proporciona a possibilidade de trocas de deslocamento entre os principais eixos, além de vias troncais, associadas ao plano diretor de desenvolvimento da cidade. assim, a integração é realizada por meio dos terminais e estações-tubo dos diversos eixos, sem passar pelo centro de curitiba.considerando a importância da linha inter 2 como promotora da integração entre os eixos de transporte, é imprescindível o investimento no aumento da sua capacidade, permitindo assim o suporte ao crescimento da demanda do sistema e a otimização da rit – rede integrada de transporte.hoje, a linha inter 2 transporta pouco mais de 80 mil passageiros/dia útil, com intervalos (frequência) de aproximadamente 2½ minutos (sentido horário) e aproximadamente 3½ minutos (sentido anti-horário), com velocidade média de 22,30 km/h, totalizando 102 minutos para completar o circuito.o indicador de qualidade da linha inter 2, apesar de intervenções terem sido realizadas para melhorar sua performance, se encontra no topo do ranking das reclamações. além de novos usuários desejarem utilizá-la, os atuais reclamam da sua irregularidade causada pela retenção e comboiamento de ônibus, em função desta linha circular em trânsito compartilhado, repetidamente saturado em diversos locais nos horários de pico.em 2010, a linha teve sua programação alterada, reduzindo a velocidade operacional de aproximadamente 25 km/h para aproximadamente 22 km/h na tentativa de manter sua regularidade que, apesar disto, continua comprometida.os principais benefícios esperados com a implantação do projeto são:melhoria dos tempos de viagem em função do aumento da velocidade operacional dos ônibus, para uma parcela importante da demanda da rede integrada de transporte - rit;melhoria na operação dos ônibus nos terminais e estações tubo;ganhos ambientais pela substituição de combustível na nova frota operante de ônibus articulados, sendo 30 veículos na linha inter 2 e 10 veículos na linha interbairros ii; e,ganhos  para todos os componentes da mobilidade, devido às intervenções previstas no sistema viário e equipamentos, implantados ao longo dos 38 km de extensão por sentido.para melhorar a velocidade operacional dos ônibus serão necessárias obras físicas nas vias que compõem o seu itinerário, a instalação de equipamentos (semáforos prioritários, fiscalização eletrônica de faixas exclusivas, câmeras de monitoramento), e frota completa de ônibus articulados movidos a biocombustível, e novas estações-tubo.como obras complementares, serão refeitas calçadas e ciclo-facilidades, drenagem e iluminação pública","aumento da capacidade e velocidade da linha direta  inter 2. o projeto prevê intervenções físicas e operacionais nos 38 quilômetros de extensão por sentido, de um conjunto de vias que compõem o anel viário da linha direta. serão realizadas obras de requalificação viária, implantação de faixas exclusivas para o transporte coletivo, compartilhamento de trechos de canaletas, reforma e reconstrução de terminais de transporte, ampliação e relocação de estaçõestubo, alterações geométricas em cruzamentos saturados, construção de trincheiras, implantação de novos binários de tráfego, priorização semafórica, monitoramento e fiscalização eletrônica de faixas exclusivas.a linha direta ""inter 2"" constitui-se numa linha radial de “ligeirinho” , que apresenta poucas paradas, em estações tubo ou terminais. possui grande importância para o sistema de transporte da cidade pois faz a conexão entre os cinco eixos estruturais (corredores de transporte com canaletas exclusivas).foi implantada como alternativa à linha paradora interbairros ii, responsável principal da efetiva integração dos usuários do transporte coletivo, pois proporciona a possibilidade de trocas de deslocamento entre os principais eixos, além de vias troncais, associadas ao plano diretor de desenvolvimento da cidade. assim, a integração é realizada por meio dos terminais e estações-tubo dos diversos eixos, sem passar pelo centro de curitiba.considerando a importância da linha inter 2 como promotora da integração entre os eixos de transporte, é imprescindível o investimento no aumento da sua capacidade, permitindo assim o suporte ao crescimento da demanda do sistema e a otimização da rit – rede integrada de transporte.hoje, a linha inter 2 transporta pouco mais de 80 mil passageiros/dia útil, com intervalos (frequência) de aproximadamente 2½ minutos (sentido horário) e aproximadamente 3½ minutos (sentido anti-horário), com velocidade média de 22,30 km/h, totalizando 102 minutos para completar o circuito.o indicador de qualidade da linha inter 2, apesar de intervenções terem sido realizadas para melhorar sua performance, se encontra no topo do ranking das reclamações. além de novos usuários desejarem utilizá-la, os atuais reclamam da sua irregularidade causada pela retenção e comboiamento de ônibus, em função desta linha circular em trânsito compartilhado, repetidamente saturado em diversos locais nos horários de pico.em 2010, a linha teve sua programação alterada, reduzindo a velocidade operacional de aproximadamente 25 km/h para aproximadamente 22 km/h na tentativa de manter sua regularidade que, apesar disto, continua comprometida.os principais benefícios esperados com a implantação do projeto são:melhoria dos tempos de viagem em função do aumento da velocidade operacional dos ônibus, para uma parcela importante da demanda da rede integrada de transporte - rit;melhoria na operação dos ônibus nos terminais e estações tubo;ganhos ambientais pela substituição de combustível na nova frota operante de ônibus articulados, sendo 30 veículos na linha inter 2 e 10 veículos na linha interbairros ii; e,ganhos  para todos os componentes da mobilidade, devido às intervenções previstas no sistema viário e equipamentos, implantados ao longo dos 38 km de extensão por sentido.para melhorar a velocidade operacional dos ônibus serão necessárias obras físicas nas vias que compõem o seu itinerário, a instalação de equipamentos (semáforos prioritários, fiscalização eletrônica de faixas exclusivas, câmeras de monitoramento), e frota completa de ônibus articulados movidos a biocombustível, e novas estações-tubo.como obras complementares, serão refeitas calçadas e ciclo-facilidades, drenagem e iluminação pública"
12,renewable energy,curitiba mais energia - painéis fotovoltaicos na rodoviária e em 3 terminais de transporte coletivo,"o projeto “curitiba mais energia” possui como escopo a instalação de sistemas fotovoltaicos (fv) conectados à rede em telhados de quatro terminais de ônibus e em solo sobre um aterro sanitário encerrado. a potência total das instalações é estimada entre 10 a 15 mw, e contribuirão para a redução de 89,028 toneladas de co2 entre 2020 e 2050 na emissão de gases de efeito estufa pela cidade. o projeto será implementado seguindo o mecanismo de compensação de energia, net metering, regulada pela resolução aneel n°482/2012 para geração distribuída (gd). a usina a ser implantada no aterro será feita em parceira com a copel (concessionária de energia do paraná), mediante a formação de uma spe. o modelo de negócio para a implantação das usinas nos telhados encontra-se em estudo","curitiba mais energia - painéis fotovoltaicos na rodoviária e em 3 terminais de transporte coletivo. o projeto “curitiba mais energia” possui como escopo a instalação de sistemas fotovoltaicos (fv) conectados à rede em telhados de quatro terminais de ônibus e em solo sobre um aterro sanitário encerrado. a potência total das instalações é estimada entre 10 a 15 mw, e contribuirão para a redução de 89,028 toneladas de co2 entre 2020 e 2050 na emissão de gases de efeito estufa pela cidade. o projeto será implementado seguindo o mecanismo de compensação de energia, net metering, regulada pela resolução aneel n°482/2012 para geração distribuída (gd). a usina a ser implantada no aterro será feita em parceira com a copel (concessionária de energia do paraná), mediante a formação de uma spe. o modelo de negócio para a implantação das usinas nos telhados encontra-se em estudo"
