area,title+desc
water management,"arroyo medrano restoration in parque saavedra. the project contemplates the restoration of 530 meters of the medrano stream with a capacity to retain 25,000,000 liters of water. its execution will benefit more than 74,526 residents who will have a stream less than 10 blocks from their home and around 200,000 residents who will be less vulnerable to flooding. the restoration and/or remediation of the water course will be carried out to its original and historical condition for the recovery of its interaction with the water table and the visibility of the streams. planned year: 2022"
water management,cildañez stream reservoir activation. the possibility of creating recreational and educational spaces through wetlands and planting of native species to recreate the biodiversity of the area is contemplated. planned year: 2021
water management,water interpretation center school visits to a space where comprehensive educational content on water and climate change is presented. planned year. 2021
water management,"hydraulic adaptation plan to climate change. project product of the cooperation project with copenhagen. within the framework of the hydraulic plan and its adaptation plan for flood management, hydraulic infrastructure works based on nature (green and blue) are foreseen, which reduce the risk of flooding in the city due to climate change, improve the water quality, recover the interaction between the groundwater and watercourses, and generate recreational spaces for enjoyment. planned year: 2023"
transport,"expansion of the bike path network. the work consists of the execution of exclusive lanes for bicycles implementing different elements that warn, signal, anticipate and announce the existence of the bicycle lane network. said structure is made up of lane dividers materialized by pre-cast concrete cords, horizontal demarcation, vertical signage, studs and eyeliners. it seeks to expand the existing and consolidated network of cycle paths to neighborhoods that are still disconnected from the city center and/or routes that were disconnected from the rest, consolidating them and continuing with their development in the autonomous city of buenos aires guaranteeing a minimum, adequate and safe infrastructure for the proper functioning"
buildings,"sustainable design of social housing. we propose to participate in the process of design, bidding and execution of social housing with the objective of incorporating the necessary elements to achieve social housing that has the energy performance corresponding to category b of the iram 11,900 standard."
transport,"increase in capacity and speed of the brt along the north-south axis, east-west axis and terminals. the project foresees the readjustment of the exclusive public transport channels, with the separation of the tube stations, creating a third and fourth lanes for overtaking, in order to allow the use of lighter lines, faster and with fewer stops. will be implemented along the north-south axis, in the stretch between praça do japão and pinheirinho terminal and also on the east-west axis. yes (integrated mobility system –mobility pac). improvements are also planned for sidewalks and level crossings for access to terminals and tube stations and the implementation of integration bicycle racks, as well as the removal of cyclists from sharing with public transport to adjacent roads in the structural axis.despite constant investments in public transport in curitiba and the metropolitan region, the integrated transport network - rit has been facing difficulties, mainly due to the intense increase in private vehicle traffic. in curitiba there are more than 1,300,000 registered vehicles, creating operational problems for public transport and mobility in general. congested traffic has generated an increase in travel times and difficulties in maintaining the frequency of the system, thus discouraging the use of public transport due to the lack of regularity. seek viable solutions, linked to the urban and metropolitan development of its public transport. in this scenario, where there has always been an attempt to move towards the future, it is at this moment that the need to advance even more in solutions for the city&#39;s transport system is imperative. with the consolidation of the structural axes and the integration with the metropolitan region, it became necessary to search for new transport technologies to adequately meet the demand for public transport. mainly at the crossroads in the central region outside exclusive lanes, the desire of users to obtain shorter travel times and the need for physical intervention in the east-west and north-south channels, allowing overtaking to share the lane, are the main elements which led the city of curitiba to invest in this project. the east-west and north-south axes are consolidated brt corridors in curitiba, treating this project as an increase in the capacity and speed of the express lines that operate in these corridors. this project deals with the widening of the channels next to the stopping points, the insertion of light bus lines in the channels that travel on roads parallel to the corridors, which present considerable operational losses because they travel next to common traffic. together with the implementation of this project, so-called quiet lanes will be introduced, parallel to the exclusive channels, where local transit vehicles will share the lanes with the bicycle modal. bi-articulated buses on express lines and direct lines; improvement in general operation at terminals and tube stations; environmental gains from replacing diesel-powered standard buses with new bi-articulated buses powered by b100; gains for the bicycle mobility component, with the implementation of shared lanes"
transport,"green line complementation in the city of curitiba – north green line and south extension green line. the green line project has a total of five lanes, laid out along the former right of way on the br-116 highway, over a length of approximately 22 km. the project foresees the construction of new lanes, with stretches of use of existing lanes. they are: the central channel, exclusively for public transport, the side roads and local roads, left and right. the project will also feature a bike path and pedestrian walkways. in this way, the green line will result in a high-performance, multimodal road, both in terms of traffic capacity and safety for its users. set of lanes dedicated to each modal, and expected traffic characteristics, with the components listed below: exclusive lane: the lane is the central lane, exclusive to the express lines of the public transport type brt, where bi-articulated buses will travel. side roads: the two side roads to the exclusive channel, intended for the circulation of vehicles in general that currently use the highway. the side roads will be separated from the local roads, located on the outermost side of the set of lanes, by flowerbeds of variable width, with specific landscaping. local roads: the local roads, previously called side roads of the br-116 highway, will be implemented and/ or adapted at the edge of the highway&#39;s right-of-way, providing access to neighboring activities. will feature a longitudinal parking lane and a one-way traffic lane. along the extensions of the future passenger boarding and disembarking stations of the brt system, the local roads will overlap the marginal roads. after the station, the lanes return to their normal composition. public transport stations: the stations along the green line were planned with the function of allowing the integration of the lines that will use it, with the other public transport lines, existing or planned , which will cross the green line. the project constitutes a new driver of development for the city, through changes in land use and zoning, allowing for the increase of socioeconomic activities and urban and environmental revitalization. around 32% of the population of curitiba lives in the neighborhoods bordering the axis."
transport,"increase in the capacity and speed of the inter 2 direct line. the project includes physical and operational interventions in the 38 kilometers in length, in each direction, of a set of roads that make up the ring road of the direct line. road rehabilitation works will be carried out, implementation of exclusive lanes for public transport, sharing of stretches of channels, renovation and reconstruction of transport terminals, expansion and relocation of tube stations, geometric changes in saturated intersections, construction of trenches, implementation of new binary of traffic, traffic light prioritization, monitoring and electronic inspection of exclusive lanes. the &quot;inter 2&quot; direct line is a &quot;lightweight&quot; radial line, which has few stops, at tube stations or terminals. it is of great importance for the city&#39;s transport system as it connects the five structural axes (transport corridors with exclusive channels). provides the possibility of exchanges between the main axes, in addition to trunk roads, associated with the master plan for the city&#39;s development. thus, integration is carried out through the terminals and tube-stations of the various axes, without going through the center of curitiba. capacity, thus allowing support to the growth of the system&#39;s demand and the optimization of the rit – integrated transport network. clockwise) and approximately 3½ minutes (counterclockwise), with an average speed of 22.30 km/h, totaling 102 minutes to complete the circuit. its performance, is at the top of the ranking of complaints. in addition to new users wanting to use it, current users complain about its irregularity caused by the detention and convoy of buses, due to this circular line in shared traffic, repeatedly saturated in several places at peak times. changed, reducing the operating speed from approximately 25 km/h to approximately 22 km/h in an attempt to maintain its regularity, which, despite this, remains compromised. the increase in the operational speed of the buses, for an important portion of the demand of the integrated transport network - rit; improvement in the operation of buses in the terminals and tube stations; environmental gains by replacing fuel in the new operating fleet of articulated buses, of which 30 vehicles on the inter 2 line and 10 vehicles on the inter-neighborhood line ii; and, gains for all mobility components, due to the planned interventions in the road system and equipment, implemented along the 38 km of extension in each direction. installation of equipment (priority traffic lights, electronic inspection of exclusive lanes, monitoring cameras), and a complete fleet of articulated buses powered by biofuel, and new tube stations. public"
renewable energy,"curitiba more energy - photovoltaic panels at the bus station and 3 public transport terminals. the “curitiba more energy” project has as its scope the installation of photovoltaic (pv) systems connected to the grid on the roofs of four bus terminals and on the ground over a closed sanitary landfill. the total power of the installations is estimated to be between 10 and 15 mw, and will contribute to a reduction of 89,028 tons of co2 between 2020 and 2050 in the emission of greenhouse gases by the city. the project will be implemented following the energy compensation mechanism, net metering, regulated by aneel resolution n°482/2012 for distributed generation (gd). the plant to be installed on the landfill will be carried out in partnership with copel (paraná energy concessionaire), through the formation of an spe. the business model for the installation of power plants on the roofs is under study"
