title,desc,title+desc,area
sustainable design of social housing,design and build a prototype of social housing emphasizing all those elements that will condition the use of energy in the useful life of these buildings. incorporate the necessary elements to achieve social housing that has an optimal energy performance and serves as a model for other social housing applications in the city.,sustainable design of social housing. design and build a prototype of social housing emphasizing all those elements that will condition the use of energy in the useful life of these buildings. incorporate the necessary elements to achieve social housing that has an optimal energy performance and serves as a model for other social housing applications in the city.,energy efficiency
promotion of photovoltaic solar installations for distributed generation,"develop a platform for linking and associating supply-demand to promote an economy of scale that, leveraged also with subsidized financing for the acquisition of equipment, reduces costs and promotes residential, commercial and industrial distributed generation. through the use of this platform, successive calls will be made to generate groups of joint purchase of goods and services, to which the costs of acquiring them will be partially subsidized.","promotion of photovoltaic solar installations for distributed generation. develop a platform for linking and associating supply-demand to promote an economy of scale that, leveraged also with subsidized financing for the acquisition of equipment, reduces costs and promotes residential, commercial and industrial distributed generation. through the use of this platform, successive calls will be made to generate groups of joint purchase of goods and services, to which the costs of acquiring them will be partially subsidized.",renewable energy
strengthening cifa (environmental information and training center) as a benchmark in clean generation technologies,"it seeks to position the center for environmental information and training (cifa) as a local and national reference node in the training and technological aspects of urban applications of energy sources, also generating local knowledge from the promotion of research, development and innovation.","strengthening cifa (environmental information and training center) as a benchmark in clean generation technologies. it seeks to position the center for environmental information and training (cifa) as a local and national reference node in the training and technological aspects of urban applications of energy sources, also generating local knowledge from the promotion of research, development and innovation.",renewable energy
community solar generation with broad social impact,"technical-economic study for the implementation of a community solar generation model in new social housing in vulnerable neighborhoods of the city of buenos aires. making photovoltaic installations of scale, reducing costs and repayment periods, bringing the option of investment in this technology to all the inhabitants of the city, and economically benefiting the owners of the roofs of social buildings, by reducing their energy costs and removing the risk of energy poverty. generation of green employment associated with the activity of these facilities.","community solar generation with broad social impact. technical-economic study for the implementation of a community solar generation model in new social housing in vulnerable neighborhoods of the city of buenos aires. making photovoltaic installations of scale, reducing costs and repayment periods, bringing the option of investment in this technology to all the inhabitants of the city, and economically benefiting the owners of the roofs of social buildings, by reducing their energy costs and removing the risk of energy poverty. generation of green employment associated with the activity of these facilities.",renewable energy
solar map of the city,"develop a tool to provide information to citizens and public managers on the possibility of generating renewable energy in defined points of the city and on the economic, environmental and social benefits that this generates.","solar map of the city. develop a tool to provide information to citizens and public managers on the possibility of generating renewable energy in defined points of the city and on the economic, environmental and social benefits that this generates.",renewable energy
portal web retrofit caba,"develop a web portal where all the information related to ""retrofit"" is centralized, which would fulfill a function of repository of general information to guide the citizen, provide technical information and guides of good practices for professionals, and orientation service. promotion of list of suppliers, professionals, financing lines, offer product discounts.","portal web retrofit caba. develop a web portal where all the information related to ""retrofit"" is centralized, which would fulfill a function of repository of general information to guide the citizen, provide technical information and guides of good practices for professionals, and orientation service. promotion of list of suppliers, professionals, financing lines, offer product discounts.",energy efficiency
learning networks,improve the energy performance of neighborhood clubs and contribute to the sustainability of clubs and their important social function. it is intended to create a collaboration space where representatives of neighborhood clubs that need to implement energy efficiency and renewable energy measures participate. the economic contribution of at least 30% of the total cost necessary to intervene with the proposed measures is required.,learning networks. improve the energy performance of neighborhood clubs and contribute to the sustainability of clubs and their important social function. it is intended to create a collaboration space where representatives of neighborhood clubs that need to implement energy efficiency and renewable energy measures participate. the economic contribution of at least 30% of the total cost necessary to intervene with the proposed measures is required.,energy efficiency
sewen - metropolitan monitoring platform,"monitor centrally and in real time the status and evolution of the set of photovoltaic installations in the city, with information on generation, status, maintenance requirements (preventive and corrective), alert and rapid response to failures, also serving as a tool for governance and dissemination of clean technologies.","sewen - metropolitan monitoring platform. monitor centrally and in real time the status and evolution of the set of photovoltaic installations in the city, with information on generation, status, maintenance requirements (preventive and corrective), alert and rapid response to failures, also serving as a tool for governance and dissemination of clean technologies.",renewable energy
rosario dry biodigestion plant,"the municipality of rosario has an ambitious comprehensive waste management plan that, although it is dynamic over the years since its creation in 2003 to date, the spirit is always the same, minimize the generation of waste, reduce waste sent to final disposal through different treatments according to each stream of material,  among other purposes. the process of the organic fraction is necessary to take if it is intended to decrease in final disposal. this fraction is around 40/50% of the generation of household solid waste, for this reason, the municipality has had a composting plant for more than 7 years. the technical teams of the ministry of environment and public space developed this project of dry biodigestion plant with the purpose of increasing the amount of waste recovered with more advanced and innovative technologies, continue with the use of the dry fraction (recyclable materials), with the added value of generating electricity.","rosario dry biodigestion plant. the municipality of rosario has an ambitious comprehensive waste management plan that, although it is dynamic over the years since its creation in 2003 to date, the spirit is always the same, minimize the generation of waste, reduce waste sent to final disposal through different treatments according to each stream of material,  among other purposes. the process of the organic fraction is necessary to take if it is intended to decrease in final disposal. this fraction is around 40/50% of the generation of household solid waste, for this reason, the municipality has had a composting plant for more than 7 years. the technical teams of the ministry of environment and public space developed this project of dry biodigestion plant with the purpose of increasing the amount of waste recovered with more advanced and innovative technologies, continue with the use of the dry fraction (recyclable materials), with the added value of generating electricity.",waste management
sustainable and energy-efficient municipal building,sustainable construction of a municipal building that complies with leed standards and energy efficiency parameters.,sustainable and energy-efficient municipal building. sustainable construction of a municipal building that complies with leed standards and energy efficiency parameters.,energy efficiency
